t_s,scene_main.in,lfo_a.out,lfo_b.out
1.350000,1.049019,0.858434,1.185760
1.360000,0.844021,0.859872,1.184920
1.370000,0.401278,0.861286,1.184080
1.380000,0.189507,0.862676,1.183240
1.390000,-1.104755,0.864042,1.182400
1.400000,-0.904385,0.865384,1.181560
1.410000,-0.961322,0.866701,1.180720
1.420000,-0.359081,0.867994,1.179880
1.430000,-0.164705,0.869263,1.179040
1.440000,0.444560,0.870506,1.178200
1.450000,-0.023267,0.871725,1.177360
1.460000,0.195668,0.872919,1.176520
1.470000,0.077453,0.874089,1.175680
1.480000,0.260596,0.875233,1.174840
1.490000,0.088597,0.876352,1.174000
1.500000,0.656055,0.877446,1.173160
1.510000,0.175815,0.878515,1.172320
1.520000,0.074602,0.879559,1.171480
1.530000,0.008012,0.880578,1.170640
1.540000,0.274347,0.881571,1.169800
1.550000,-0.280095,0.882538,1.168960
1.560000,-0.088103,0.883480,1.168120
1.570000,-0.425294,0.884397,1.167280
1.580000,-0.741577,0.885288,1.166440
1.590000,-1.286713,0.886153,1.165600
1.600000,-0.623511,0.886992,1.164760
1.610000,-0.428112,0.887806,1.163920
1.620000,-0.013431,0.888593,1.163080
1.630000,1.154740,0.889355,1.162240
1.640000,1.712661,0.890091,1.161400
1.650000,0.886400,0.890800,1.160560
1.660000,0.578910,0.891484,1.159720
1.670000,0.557250,0.892142,1.158880
1.680000,-0.486934,0.892773,1.158040
1.690000,-0.872330,0.893378,1.157200
1.700000,-0.603252,0.893957,1.156360
1.710000,-0.494504,0.894510,1.155520
1.720000,-0.910588,0.895036,1.154680
1.730000,-0.594436,0.895536,1.153840
1.740000,-0.022241,0.896009,1.153000
1.750000,-0.098491,0.896457,1.152160
1.760000,0.221284,0.896877,1.151320
1.770000,0.554712,0.897272,1.150480
1.780000,0.393814,0.897639,1.149640
1.790000,-0.020749,0.897980,1.148800
1.800000,-0.024709,0.898295,1.147960
1.810000,0.324278,0.898583,1.147120
1.820000,0.032999,0.898845,1.146280
1.830000,0.525121,0.899079,1.145440
1.840000,0.853121,0.899288,1.144600
1.850000,0.609581,0.899469,1.143760
1.860000,-0.520367,0.899624,1.142920
1.870000,-0.521340,0.899752,1.142080
1.880000,-1.336852,0.899854,1.141240
1.890000,-1.273531,0.899929,1.140400
1.900000,-0.787069,0.899977,1.139560
1.910000,-0.267852,0.899999,1.138720
1.920000,0.227052,0.899994,1.137880
1.930000,0.768319,0.899962,1.137040
1.940000,1.147382,0.899903,1.136200
1.950000,0.680758,0.899818,1.135360
1.960000,0.871826,0.899706,1.134520
1.970000,0.439722,0.899568,1.133680
1.980000,-0.007712,0.899403,1.132840
1.990000,-0.557824,0.899211,1.132000
2.000000,-0.514907,0.898992,1.131160
2.010000,-0.875530,0.898747,1.130320
2.020000,-1.015359,0.898475,1.129480
2.030000,-0.126853,0.898177,1.128640
2.040000,0.212813,0.897852,1.127800
2.050000,0.147434,0.897501,1.126960
2.060000,0.180300,0.897123,1.126120
2.070000,0.282893,0.896719,1.125280
2.080000,-0.160748,0.896288,1.124440
2.090000,-0.470664,0.895830,1.123600
2.100000,0.326481,0.895347,1.122760
2.110000,0.231218,0.894837,1.121920
2.120000,0.582636,0.894300,1.121080
2.130000,0.547415,0.893737,1.120240
2.140000,1.135955,0.893148,1.119400
2.150000,-0.437150,0.892533,1.118560
2.160000,-0.308653,0.891892,1.117720
2.170000,-0.722620,0.891224,1.116880
2.180000,-0.822046,0.890530,1.116040
2.190000,-1.466020,0.889811,1.115200
2.200000,-0.578256,0.889065,1.114360
2.210000,-0.039873,0.888293,1.113520
2.220000,0.028357,0.887496,1.112680
2.230000,0.468964,0.886672,1.111840
2.240000,1.274132,0.885823,1.111000
2.250000,1.021303,0.884948,1.110160
2.260000,0.618143,0.884047,1.109320
2.270000,0.512881,0.883121,1.108480
2.280000,0.021721,0.882169,1.107640
2.290000,-0.733679,0.881192,1.106800
2.300000,-0.767766,0.880189,1.105960
2.310000,-1.037148,0.879161,1.105120
2.320000,-0.502175,0.878107,1.104280
2.330000,-0.580662,0.877029,1.103440
2.340000,0.435811,0.875925,1.102600
2.350000,-0.082764,0.874796,1.101760
2.360000,0.120689,0.873642,1.100920
2.370000,-0.108181,0.872463,1.100080
2.380000,-0.120182,0.871259,1.099240
2.390000,-0.323655,0.870031,1.098400
2.400000,0.158801,0.868778,1.097560
2.410000,0.594121,0.867500,1.096720
2.420000,0.523124,0.866198,1.095880
2.430000,0.912863,0.864871,1.095040
2.440000,0.364291,0.863520,1.094200
2.450000,0.070678,0.862145,1.093360
2.460000,-0.324789,0.860745,1.092520
2.470000,-0.414117,0.859322,1.091680
2.480000,-1.161204,0.857874,1.090840
2.490000,-1.031296,0.856403,1.090000
2.500000,-0.285660,0.854907,1.089160
2.510000,-0.767537,0.853389,1.088320
2.520000,-0.487492,0.851846,1.087480
2.530000,0.446558,0.850280,1.086640
2.540000,1.240339,0.848691,1.085800
2.550000,0.730292,0.847078,1.084960
2.560000,0.884718,0.845443,1.084120
2.570000,0.744360,0.843784,1.083280
2.580000,-0.083818,0.842102,1.082440
2.590000,-0.735756,0.840398,1.081600
2.600000,-0.846673,0.838671,1.080760
2.610000,-0.176605,0.836921,1.079920
2.620000,-0.842435,0.835148,1.079080
2.630000,0.048746,0.833354,1.078240
2.640000,0.238495,0.831537,1.077400
2.650000,-0.129369,0.829698,1.076560
2.660000,-0.499422,0.827837,1.075720
2.670000,0.073028,0.825954,1.074880
2.680000,-0.054458,0.824049,1.074040
2.690000,-0.253054,0.822123,1.073200
2.700000,0.498706,0.820175,1.072360
2.710000,0.403886,0.818206,1.071520
2.720000,0.205243,0.816216,1.070680
2.730000,0.032677,0.814205,1.069840
2.740000,0.837539,0.812172,1.069000
2.750000,0.166509,0.810119,1.068160
2.760000,-0.046126,0.808045,1.067320
2.770000,-0.199195,0.805951,1.066480
2.780000,-0.723954,0.803836,1.065640
2.790000,-1.174165,0.801701,1.064800
2.800000,-1.416834,0.799545,1.063960
2.810000,-0.720480,0.797370,1.063120
2.820000,-0.047259,0.795175,1.062280
2.830000,0.728509,0.792960,1.061440
2.840000,1.112360,0.790726,1.060600
2.850000,1.041500,0.788472,1.059760
2.860000,0.945100,0.786199,1.058920
2.870000,0.451406,0.783907,1.058080
2.880000,-0.103110,0.781596,1.057240
2.890000,-0.661359,0.779266,1.056400
2.900000,0.112632,0.776918,1.055560
2.910000,-0.919943,0.774551,1.054720
2.920000,-0.637844,0.772166,1.053880
2.930000,-0.676390,0.769762,1.053040
2.940000,-0.063933,0.767341,1.052200
2.950000,-0.803499,0.764902,1.051360
2.960000,0.008470,0.762445,1.050520
2.970000,0.143832,0.759970,1.049680
2.980000,-0.045328,0.757479,1.048840
2.990000,-0.218929,0.754970,1.048000
3.000000,0.232552,0.752444,1.047160
3.010000,0.231507,0.749901,1.046320
3.020000,0.118455,0.747341,1.045480
3.030000,1.009914,0.744765,1.044640
3.040000,1.231000,0.742173,1.043800
3.050000,0.257407,0.739565,1.042960
3.060000,0.014285,0.736940,1.042120
3.070000,-0.374176,0.734300,1.041280
3.080000,-1.064752,0.731644,1.040440
3.090000,-2.030123,0.728973,1.039600
3.100000,-0.834799,0.726286,1.038760
3.110000,-0.487322,0.723585,1.037920
3.120000,-0.293538,0.720868,1.037080
3.130000,-0.025283,0.718137,1.036240
3.140000,1.233963,0.715391,1.035400
3.150000,0.925723,0.712630,1.034560
3.160000,0.561459,0.709856,1.033720
3.170000,0.690029,0.707067,1.032880
3.180000,0.349577,0.704265,1.032040
3.190000,-0.117142,0.701449,1.031200
3.200000,-0.662524,0.698620,1.030360
3.210000,-0.373201,0.695777,1.029520
